"rev_id","a","b","c","d","e","f","g","h","i","j","k","l","Undetermined"
3857258,0,0,0,1,0,0,0,0,0,0,0,0,0
3857280,0,0,0,0,0,0,0,0,0,0,0,0,1
3857284,0,0,1,0,0,0,0,0,0,0,0,0,0
3857293,0,0,1,0,0,0,0,0,0,0,0,0,0
3857417,0,1,0,0,0,0,0,0,0,0,0,0,0
3857425,0,1,1,0,0,0,0,0,0,0,0,0,0
3933899,0,0,0,0,0,0,1,0,0,0,0,0,1
4498682,1,0,1,0,0,0,1,0,0,0,0,0,0
5068753,0,0,1,0,0,1,0,0,0,0,0,0,1
5637054,0,1,1,0,0,0,0,0,0,0,1,0,0
5637382,0,0,1,0,0,0,0,0,0,0,0,0,1
5637393,0,0,1,0,0,0,0,0,0,0,0,0,1
6700174,0,0,1,0,0,0,0,0,0,0,0,0,1
6768915,0,0,0,0,0,1,0,0,0,0,0,0,0
7229490,0,0,1,0,0,0,0,0,0,0,0,0,1
8875702,0,0,1,0,0,0,0,1,0,0,1,0,0
8875739,0,0,0,0,0,1,0,0,0,0,0,0,0
8875752,0,0,1,0,0,0,0,0,0,0,1,0,0
8875782,0,0,0,0,0,1,0,0,0,0,0,0,0
9486213,0,0,0,0,0,0,0,0,0,0,1,0,1
9493504,0,1,1,0,1,0,1,0,0,0,0,0,1
11399499,0,0,0,0,0,1,0,0,0,0,0,0,1
11879280,0,0,0,0,0,0,0,0,0,0,1,0,1
11879497,1,1,1,0,0,0,0,0,0,0,0,0,1
12276762,0,1,1,0,0,0,0,0,0,0,0,1,1
13095192,0,0,0,0,0,1,0,0,0,0,0,0,0
14117585,0,0,1,0,0,0,0,0,0,0,0,0,0
14748875,0,0,0,0,0,1,0,1,0,0,0,0,0
16516168,0,1,0,0,0,0,0,0,0,0,0,0,0
18634113,0,1,1,0,0,1,1,0,0,0,0,0,0
18634403,0,1,1,0,0,0,0,0,0,0,0,0,0
18634438,0,0,0,0,0,1,0,0,0,0,0,0,0
19055267,0,1,0,0,1,0,0,0,0,0,0,0,0
20100955,0,1,1,0,0,0,0,0,0,0,0,0,0
22734691,0,1,0,0,0,0,0,0,0,0,0,0,0
22734740,0,0,0,0,0,1,0,0,0,0,0,0,0
22995943,0,1,0,0,1,0,0,0,0,0,0,0,0
22996146,0,0,0,0,0,1,0,0,0,0,0,0,0
24343001,0,0,1,0,0,0,0,0,0,0,1,0,0
25100470,0,0,0,0,0,0,0,1,0,0,0,0,1
29307821,0,0,1,0,0,0,0,0,0,0,0,0,1
29655107,0,0,0,0,0,0,1,0,0,0,0,0,0
29714461,0,0,1,0,0,0,0,1,0,0,0,0,1
29780830,0,0,0,0,0,1,0,0,0,0,0,0,0
30811867,0,0,1,0,1,0,0,0,0,0,0,0,0
31220892,0,1,1,0,0,0,0,0,0,0,0,0,0
31496355,0,1,1,0,1,0,0,0,0,0,1,0,1
33988845,0,1,1,0,0,0,0,0,0,0,0,0,0
35258859,0,0,1,0,0,0,1,0,0,0,0,0,1
35260231,0,0,1,0,0,0,1,0,0,0,0,0,0
35260249,0,1,1,0,0,0,0,0,0,0,0,0,0
35260401,0,0,1,0,1,0,0,1,0,0,1,0,1
38087162,0,1,1,0,0,0,0,0,0,0,0,0,0
38254467,0,0,1,0,0,0,0,0,0,0,0,0,1
38677139,0,0,0,0,0,1,0,0,0,0,0,0,0
41339653,0,1,1,0,0,0,0,0,0,0,0,0,0
41548757,0,1,0,0,1,0,0,0,0,0,0,0,0
41548807,0,0,0,0,0,1,0,0,0,0,0,0,0
42099301,0,1,1,0,0,0,0,0,0,0,0,0,0
42542328,0,0,0,0,0,0,0,1,0,0,0,0,1
46597392,0,0,1,0,0,0,0,0,0,0,1,0,0
52062708,0,0,0,0,0,0,0,0,0,0,1,0,0
52063180,0,0,0,0,0,0,0,0,0,0,1,0,0
53648923,0,1,1,0,1,0,0,0,0,0,1,0,0
57263622,0,1,1,0,0,0,0,0,0,0,0,0,0
58678711,0,1,0,0,0,0,0,0,0,0,0,0,0
58942254,0,1,0,0,1,0,0,0,0,0,0,0,0
59156945,0,0,0,0,0,0,0,0,1,0,0,0,0
59156949,0,0,0,0,0,0,0,0,0,1,0,0,0
61691810,0,0,0,0,0,1,0,0,0,0,0,0,0
61693051,0,0,0,0,0,1,0,0,0,0,0,0,0
63255808,0,1,1,0,0,0,0,0,0,0,0,0,0
65809008,0,1,0,0,0,0,0,0,0,0,0,0,0
66703189,0,1,1,0,0,0,0,0,0,0,0,0,0
67066152,0,1,0,0,1,0,0,0,0,0,0,0,0
72291713,0,1,1,0,0,0,0,1,0,0,1,0,0
72292065,0,0,1,0,0,0,0,0,0,0,0,0,0
72349873,0,0,0,0,0,0,0,0,0,0,1,0,1
76583241,0,0,0,0,0,0,0,0,0,0,1,0,1
76848141,0,0,0,0,0,0,0,0,0,0,0,0,1
78928929,0,1,0,0,1,0,0,0,0,0,0,0,0
